                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 2.7949,                 5.5267,                 3.8602,                      0,                      0,                      0,                      0,                 3.3279,                 5.0728,                  4.083,             0.00029356,             0.00029356,             0.00029356
                     38,                 2.6423,                 5.5044,                 3.8315,                      0,                      0,                      0,                      0,                  3.289,                  5.025,                 4.0514,             0.00030129,             0.00030129,             0.00030129
                     39,                 2.8747,                 5.4186,                 3.8373,                      0,                      0,                      0,                      0,                 3.2475,                 4.9405,                 3.9983,             0.00030901,             0.00030901,             0.00030901
                     40,                 2.1873,                  5.409,                 3.6699,                      0,                      0,                      0,                      0,                 3.2475,                 4.9405,                 3.9983,             0.00031671,             0.00031671,             0.00031671
                     41,                 2.3487,                 5.6284,                 3.6558,                      0,                      0,                      0,                      0,                 3.2174,                 4.8804,                 3.9699,             0.00032439,             0.00032439,             0.00032439
                     42,                 2.7059,                 5.3558,                 3.7248,                      0,                      0,                      0,                      0,                 3.1995,                  4.827,                 3.9592,             0.00033206,             0.00033206,             0.00033206
                     43,                 2.1838,                 5.3451,                  3.573,                      0,                      0,                      0,                      0,                 3.1995,                  4.827,                 3.9592,             0.00033971,             0.00033971,             0.00033971
                     44,                 2.2028,                 5.2523,                 3.5563,                      0,                      0,                      0,                      0,                 3.1954,                 4.8212,                 3.9605,             0.00034735,             0.00034735,             0.00034735
                     45,                 2.8363,                 5.3367,                 3.6169,                      0,                      0,                      0,                      0,                 3.1954,                 4.8212,                 3.9605,             0.00035496,             0.00035496,             0.00035496
                     46,                 2.4087,                 5.2157,                 3.5649,                      0,                      0,                      0,                      0,                 3.2186,                 4.8274,                 3.9882,             0.00036256,             0.00036256,             0.00036256
                     47,                 2.2826,                 5.2326,                  3.442,                      0,                      0,                      0,                      0,                 3.2186,                 4.8274,                 3.9882,             0.00037015,             0.00037015,             0.00037015
                     48,                  2.669,                 5.1949,                 3.5603,                      0,                      0,                      0,                      0,                 3.2381,                 4.8814,                 4.0225,             0.00037772,             0.00037772,             0.00037772
                     49,                 2.5511,                 5.0991,                 3.4714,                      0,                      0,                      0,                      0,                 3.2381,                 4.8814,                 4.0225,             0.00038527,             0.00038527,             0.00038527
                     50,                 2.5425,                 5.1352,                 3.6172,                      0,                      0,                      0,                      0,                 3.2012,                 4.8996,                 4.0005,              0.0003928,              0.0003928,              0.0003928
                     51,                 2.4657,                 5.1723,                  3.624,                      0,                      0,                      0,                      0,                 3.2012,                 4.8996,                 4.0005,             0.00039636,             0.00039636,             0.00039636
                     52,                 2.4774,                  5.263,                  3.563,                      0,                      0,                      0,                      0,                 3.1092,                  4.903,                 3.9228,             0.00039636,             0.00039636,             0.00039636
                     53,                 2.0626,                 4.7676,                 3.4539,                      0,                      0,                      0,                      0,                 3.1092,                  4.903,                 3.9228,             0.00039595,             0.00039595,             0.00039595
                     54,                 2.3063,                 4.8588,                  3.459,                      0,                      0,                      0,                      0,                 2.9247,                 4.7896,                 3.7168,             0.00039553,             0.00039553,             0.00039553
                     55,                 2.1427,                 4.8022,                 3.3384,                      0,                      0,                      0,                      0,                 2.9247,                 4.7896,                 3.7168,             0.00039512,             0.00039512,             0.00039512
                     56,                  1.896,                 4.9246,                 3.2127,                      0,                      0,                      0,                      0,                 2.6045,                 4.6903,                 3.4442,             0.00039471,             0.00039471,             0.00039471
                     57,                 2.2315,                 4.6521,                 3.3199,                      0,                      0,                      0,                      0,                 2.6045,                 4.6903,                 3.4442,             0.00039429,             0.00039429,             0.00039429
                     58,                 2.5679,                 4.7797,                 3.3465,                0.00085,                   0.05,                0.00138,                0.00041,                 2.3416,                 4.5728,                 3.1666,             0.00039388,             0.00039388,             0.00039388
                     59,                 2.4939,                 4.9676,                 3.4566,                0.00085,                   0.05,                0.00138,                0.00041,                 2.3416,                 4.5728,                 3.1666,             0.00039347,             0.00039347,             0.00039347
                     60,                 2.5627,                  4.335,                 3.3269,                0.00432,                   0.25,                0.03172,                0.00578,                 2.0623,                 4.5007,                 2.9281,             0.00039306,             0.00039306,             0.00039306
                     61,                 2.6602,                 4.8678,                 3.4834,                0.00432,                   0.25,                0.03172,                0.00578,                 2.0623,                 4.5007,                 2.9281,             0.00039264,             0.00039264,             0.00039264
                     62,                 2.6143,                   4.84,                 3.4217,                0.00359,                    0.4,                0.02799,                0.01152,                 1.9008,                 4.4968,                 2.7728,             0.00039223,             0.00039223,             0.00039223
                     63,                 2.5316,                 4.5988,                 3.2078,                0.00359,                    0.4,                0.02799,                0.01152,                 1.9008,                 4.4968,                 2.7728,             0.00039182,             0.00039182,             0.00039182
                     64,                 2.1063,                 4.7414,                 3.2264,                0.00382,                    0.5,                0.05635,                0.02587,                  1.795,                 4.4466,                  2.668,              0.0003914,              0.0003914,              0.0003914
                     65,                 2.1766,                 4.4879,                 3.1721,                0.00382,                    0.5,                0.05635,                0.02587,                  1.795,                 4.4466,                  2.668,             0.00039099,             0.00039099,             0.00039099
                     66,                 2.4792,                 4.4541,                 3.2076,                0.00838,                    0.6,                0.15664,                0.06459,                 1.7851,                 4.2416,                  2.658,             0.00039058,             0.00039058,             0.00039058
                     67,                 2.7079,                 4.2637,                 3.4487,                0.00838,                    0.6,                0.15664,                0.06459,                 1.7851,                 4.2416,                  2.658,             0.00039017,             0.00039017,             0.00039017
                     68,                 2.1687,                 4.1739,                 3.0924,                0.81374,                    0.1,                0.14845,                0.05345,                 1.7245,                 4.1248,                 2.6374,             0.00038975,             0.00038975,             0.00038975
                     69,                 2.6351,                 4.5858,                 3.3816,                0.81374,                    0.1,                0.14845,                0.05345,                 1.7245,                 4.1248,                 2.6374,             0.00038934,             0.00038934,             0.00038934
                     70,                 2.4106,                  4.721,                 3.2299,                0.85894,                   0.05,                0.10272,                0.05425,                  1.669,                 4.0336,                  2.568,             0.00038893,             0.00038893,             0.00038893
                     71,                 2.0868,                 4.2134,                 2.9804,                0.85894,                   0.05,                0.10272,                0.05425,                  1.669,                 4.0336,                  2.568,             0.00038851,             0.00038851,             0.00038851
                     72,                 2.3366,                 4.5506,                 3.2488,                0.92052,                   0.05,                0.11612,                 0.0591,                 1.6335,                  4.034,                 2.4824,              0.0003881,              0.0003881,              0.0003881
                     73,                 2.1373,                 4.2824,                 3.2011,                0.92052,                   0.05,                0.11612,                 0.0591,                 1.6335,                  4.034,                 2.4824,             0.00038769,             0.00038769,             0.00038769
                     74,                 2.6014,                 4.3246,                 3.2815,                0.66595,                0.12575,                0.15444,                0.08088,                 1.6173,                 4.2515,                 2.4181,             0.00038728,             0.00038728,             0.00038728
                     75,                 1.8519,                 3.9976,                 2.9677,                0.66595,                0.12575,                0.15444,                0.08088,                 1.6173,                 4.2515,                 2.4181,             0.00038686,             0.00038686,             0.00038686
                     76,                 1.9174,                  4.289,                 3.1179,                0.47063,                    0.3,                0.15577,                0.08991,                 1.5048,                 3.8555,                 2.3588,             0.00038645,             0.00038645,             0.00038645
                     77,                 2.3027,                 4.1174,                 3.2501,                0.47063,                    0.3,                0.15577,                0.08991,                 1.5048,                 3.8555,                 2.3588,             0.00038604,             0.00038604,             0.00038604
                     78,                 1.9487,                  4.155,                 2.9515,                0.39751,                0.31714,                 0.1468,                0.07595,                 1.7105,                 3.5829,                 2.5263,             0.00038562,             0.00038562,             0.00038562
                     79,                  2.829,                 4.4627,                 3.5903,                0.39751,                0.31714,                 0.1468,                0.07595,                 1.7105,                 3.5829,                 2.5263,             0.00038521,             0.00038521,             0.00038521
