                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1653,                 5.4567,                 4.2164,                      0,                      0,                      0,                      0,                 3.4461,                 4.7614,                 4.1581,               7.69e-06,               7.69e-06,               7.69e-06
                      2,                 2.7045,                 5.3353,                 4.2365,                      0,                      0,                      0,                      0,                 3.4461,                 4.7615,                  4.158,             2.3059e-05,             2.3059e-05,             2.3059e-05
                      3,                 3.0123,                 5.2831,                 4.2175,                      0,                      0,                      0,                      0,                 3.4419,                 4.7609,                 4.1574,             3.8412e-05,             3.8412e-05,             3.8412e-05
                      4,                 2.9331,                  5.508,                 4.2262,                      0,                      0,                      0,                      0,                 3.4419,                 4.7609,                 4.1565,              5.375e-05,              5.375e-05,              5.375e-05
                      5,                 2.9159,                 5.6425,                 4.2119,                      0,                      0,                      0,                      0,                 3.4452,                 4.7532,                 4.1567,             6.9073e-05,             6.9073e-05,             6.9073e-05
                      6,                 2.7921,                 5.3796,                 4.2513,                      0,                      0,                      0,                      0,                 3.4427,                 4.7499,                 4.1551,             8.4381e-05,             8.4381e-05,             8.4381e-05
                      7,                 3.0206,                  5.247,                 4.1746,                      0,                      0,                      0,                      0,                  3.435,                 4.7582,                  4.154,             9.9673e-05,             9.9673e-05,             9.9673e-05
                      8,                 3.0758,                 5.4706,                 4.2052,                      0,                      0,                      0,                      0,                 3.4417,                 4.7419,                 4.1532,             0.00011495,             0.00011495,             0.00011495
                      9,                 2.3183,                 5.3067,                  4.151,                      0,                      0,                      0,                      0,                 3.4402,                 4.7406,                 4.1527,             0.00013021,             0.00013021,             0.00013021
                     10,                 2.9265,                 5.2972,                 4.1354,                      0,                      0,                      0,                      0,                 3.4401,                 4.7367,                 4.1512,             0.00014546,             0.00014546,             0.00014546
                     11,                 3.2298,                 5.3507,                  4.146,                      0,                      0,                      0,                      0,                 3.4412,                 4.7318,                 4.1499,             0.00016069,             0.00016069,             0.00016069
                     12,                  2.616,                 5.3019,                 4.0928,                      0,                      0,                      0,                      0,                 3.4367,                  4.735,                 4.1484,             0.00017591,             0.00017591,             0.00017591
                     13,                 2.5623,                 5.2347,                 4.1244,                      0,                      0,                      0,                      0,                 3.4437,                  4.717,                 4.1461,             0.00019111,             0.00019111,             0.00019111
                     14,                 2.6729,                 5.2685,                 4.1062,                      0,                      0,                      0,                      0,                 3.4431,                 4.7168,                 4.1438,             0.00020629,             0.00020629,             0.00020629
