                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1302,                 5.7185,                 4.2061,                      0,                      0,                      0,                      0,                 3.4363,                 5.3436,                 4.1585,               4.17e-06,               4.17e-06,               4.17e-06
                      2,                 2.8768,                 5.6178,                 4.3652,                      0,                      0,                      0,                      0,                 3.4363,                 5.3436,                 4.1579,             1.2469e-05,             1.2469e-05,             1.2469e-05
                      3,                 3.0291,                 5.6666,                 4.2509,                      0,                      0,                      0,                      0,                 3.4363,                 5.3432,                 4.1573,             2.0712e-05,             2.0712e-05,             2.0712e-05
                      4,                   2.85,                 5.8666,                 4.3164,                      0,                      0,                      0,                      0,                 3.4368,                 5.3359,                 4.1565,             2.8901e-05,             2.8901e-05,             2.8901e-05
                      5,                 2.8104,                 5.8916,                 4.2993,                      0,                      0,                      0,                      0,                 3.4345,                 5.3418,                 4.1561,             3.7035e-05,             3.7035e-05,             3.7035e-05
                      6,                 2.6529,                 5.6783,                 4.3412,                      0,                      0,                      0,                      0,                  3.431,                 5.3386,                 4.1554,             4.5113e-05,             4.5113e-05,             4.5113e-05
                      7,                  2.766,                 5.6841,                 4.2732,                      0,                      0,                      0,                      0,                 3.4223,                 5.3445,                 4.1547,             5.3137e-05,             5.3137e-05,             5.3137e-05
                      8,                 3.1184,                  5.887,                 4.2747,                      0,                      0,                      0,                      0,                 3.4245,                 5.3389,                 4.1534,             6.1105e-05,             6.1105e-05,             6.1105e-05
                      9,                   2.73,                 5.8764,                 4.2096,                      0,                      0,                      0,                      0,                 3.4245,                 5.3389,                 4.1532,             6.9019e-05,             6.9019e-05,             6.9019e-05
                     10,                 2.8795,                 6.0285,                 4.2828,                      0,                      0,                      0,                      0,                 3.4238,                 5.3369,                  4.152,             7.6877e-05,             7.6877e-05,             7.6877e-05
                     11,                 3.1647,                 5.8496,                 4.2512,                      0,                      0,                      0,                      0,                 3.4226,                 5.3353,                 4.1514,              8.468e-05,              8.468e-05,              8.468e-05
                     12,                 2.7967,                 5.7423,                 4.2199,                      0,                      0,                      0,                      0,                 3.4207,                 5.3336,                 4.1498,             9.2428e-05,             9.2428e-05,             9.2428e-05
                     13,                  2.574,                 5.7718,                 4.1857,                      0,                      0,                      0,                      0,                 3.4207,                 5.3336,                 4.1485,             0.00010012,             0.00010012,             0.00010012
                     14,                 3.0125,                 5.6883,                  4.159,                      0,                      0,                      0,                      0,                 3.4201,                 5.3318,                 4.1471,             0.00010776,             0.00010776,             0.00010776
                     15,                 2.9252,                 5.6175,                 4.1586,                      0,                      0,                      0,                      0,                 3.4126,                 5.3336,                 4.1456,             0.00011534,             0.00011534,             0.00011534
                     16,                 2.8929,                 5.7843,                 4.1562,                      0,                      0,                      0,                      0,                 3.4045,                 5.3318,                 4.1438,             0.00012287,             0.00012287,             0.00012287
                     17,                 2.3092,                 5.5798,                 4.1578,                      0,                      0,                      0,                      0,                 3.4055,                 5.3326,                 4.1426,             0.00013034,             0.00013034,             0.00013034
                     18,                  2.375,                  5.845,                 4.1624,                      0,                      0,                      0,                      0,                 3.4027,                 5.3293,                  4.141,             0.00013776,             0.00013776,             0.00013776
                     19,                 2.7571,                 5.6423,                  4.163,                      0,                      0,                      0,                      0,                 3.3992,                 5.3299,                 4.1386,             0.00014513,             0.00014513,             0.00014513
                     20,                 2.6768,                 5.7763,                   4.14,                      0,                      0,                      0,                      0,                 3.4009,                  5.328,                 4.1365,             0.00015243,             0.00015243,             0.00015243
                     21,                 2.7011,                 5.6665,                 4.1419,                      0,                      0,                      0,                      0,                 3.4022,                 5.3093,                 4.1338,             0.00015969,             0.00015969,             0.00015969
                     22,                   2.92,                 5.5756,                  4.115,                      0,                      0,                      0,                      0,                 3.4042,                 5.3118,                 4.1316,             0.00016688,             0.00016688,             0.00016688
                     23,                 2.6959,                 5.6713,                 4.1447,                      0,                      0,                      0,                      0,                 3.4069,                 5.2941,                 4.1288,             0.00017403,             0.00017403,             0.00017403
                     24,                 3.0185,                 5.8078,                 4.0678,                      0,                      0,                      0,                      0,                 3.3892,                 5.3084,                 4.1264,             0.00018111,             0.00018111,             0.00018111
                     25,                 2.4517,                 5.7484,                 4.0562,                      0,                      0,                      0,                      0,                 3.3927,                 5.2996,                 4.1231,             0.00018815,             0.00018815,             0.00018815
                     26,                 2.6277,                 5.5928,                 4.0922,                      0,                      0,                      0,                      0,                 3.3889,                 5.2908,                 4.1199,             0.00019512,             0.00019512,             0.00019512
                     27,                 2.6341,                  5.853,                  4.001,                      0,                      0,                      0,                      0,                 3.3834,                 5.2828,                 4.1151,             0.00020205,             0.00020205,             0.00020205
                     28,                 2.3415,                 5.7435,                 4.0586,                      0,                      0,                      0,                      0,                 3.3834,                 5.2828,                 4.1151,             0.00020891,             0.00020891,             0.00020891
                     29,                 2.2422,                 5.6315,                 4.0187,                      0,                      0,                      0,                      0,                 3.3758,                 5.2862,                 4.1109,             0.00021573,             0.00021573,             0.00021573
                     30,                 2.4251,                 5.6023,                 3.9624,                      0,                      0,                      0,                      0,                 3.3782,                 5.2654,                 4.1032,             0.00022248,             0.00022248,             0.00022248
                     31,                 2.5832,                 5.5938,                 3.8907,                      0,                      0,                      0,                      0,                 3.3782,                 5.2654,                 4.1032,             0.00022919,             0.00022919,             0.00022919
                     32,                 2.7508,                 5.8379,                 3.9748,                      0,                      0,                      0,                      0,                 3.3676,                 5.2419,                  4.097,             0.00023583,             0.00023583,             0.00023583
                     33,                 2.8355,                 5.7239,                 3.9546,                      0,                      0,                      0,                      0,                 3.3588,                 5.2161,                 4.0929,             0.00024243,             0.00024243,             0.00024243
                     34,                 2.9318,                 5.6011,                 3.9061,                      0,                      0,                      0,                      0,                 3.3588,                 5.2161,                 4.0929,             0.00024896,             0.00024896,             0.00024896
                     35,                 2.6502,                 5.5538,                 3.8195,                      0,                      0,                      0,                      0,                 3.3527,                  5.196,                 4.0883,             0.00025545,             0.00025545,             0.00025545
                     36,                 2.7361,                 5.4813,                 3.8855,                      0,                      0,                      0,                      0,                 3.3437,                 5.1353,                 4.0848,             0.00026187,             0.00026187,             0.00026187
                     37,                 2.7996,                 5.4919,                 3.9156,                      0,                      0,                      0,                      0,                 3.3437,                 5.1353,                 4.0848,             0.00026825,             0.00026825,             0.00026825
                     38,                 2.6197,                 5.5114,                  3.837,                      0,                      0,                      0,                      0,                 3.3245,                  5.053,                 4.0707,             0.00027456,             0.00027456,             0.00027456
                     39,                 2.8113,                 5.4347,                  3.827,                      0,                      0,                      0,                      0,                 3.2932,                 4.9978,                 4.0494,             0.00028083,             0.00028083,             0.00028083
                     40,                 2.1795,                 5.3725,                 3.7151,                      0,                      0,                      0,                      0,                 3.2932,                 4.9978,                 4.0494,             0.00028703,             0.00028703,             0.00028703
                     41,                 2.3528,                 5.6218,                 3.6749,                      0,                      0,                      0,                      0,                 3.2738,                 4.9838,                 4.0359,             0.00029318,             0.00029318,             0.00029318
                     42,                 2.5728,                  5.341,                 3.7085,                      0,                      0,                      0,                      0,                 3.2511,                 4.9542,                 4.0094,             0.00029928,             0.00029928,             0.00029928
                     43,                  2.105,                 5.2534,                 3.6284,                      0,                      0,                      0,                      0,                 3.2511,                 4.9542,                 4.0094,             0.00030532,             0.00030532,             0.00030532
                     44,                 2.2414,                 5.2756,                 3.6126,                      0,                      0,                      0,                      0,                 3.2105,                 4.9211,                 3.9652,             0.00031131,             0.00031131,             0.00031131
                     45,                 2.8013,                  5.335,                 3.6709,                      0,                      0,                      0,                      0,                 3.2105,                 4.9211,                 3.9652,             0.00031724,             0.00031724,             0.00031724
                     46,                 2.3848,                 5.4108,                 3.5979,                      0,                      0,                      0,                      0,                 3.1522,                 4.9072,                 3.9209,             0.00032312,             0.00032312,             0.00032312
                     47,                 2.2787,                 5.2605,                  3.543,                      0,                      0,                      0,                      0,                 3.1522,                 4.9072,                 3.9209,             0.00032894,             0.00032894,             0.00032894
                     48,                 2.6162,                 5.2711,                 3.5952,                      0,                      0,                      0,                      0,                 3.1155,                 4.8997,                 3.8901,             0.00033471,             0.00033471,             0.00033471
                     49,                 2.5028,                   5.14,                 3.4752,                      0,                      0,                      0,                      0,                 3.1155,                 4.8997,                 3.8901,             0.00034042,             0.00034042,             0.00034042
                     50,                 2.4981,                 5.1712,                  3.588,                      0,                      0,                      0,                      0,                 3.0527,                 4.8307,                 3.8169,             0.00034608,             0.00034608,             0.00034608
                     51,                 2.3357,                 5.1199,                 3.5692,                      0,                      0,                      0,                      0,                 3.0527,                 4.8307,                 3.8169,              0.0003482,              0.0003482,              0.0003482
                     52,                 2.4976,                 5.3812,                 3.5603,                      0,                      0,                      0,                      0,                 2.9041,                  4.784,                 3.6916,              0.0003482,              0.0003482,              0.0003482
                     53,                 2.0171,                 4.9104,                 3.4265,                      0,                      0,                      0,                      0,                 2.9041,                  4.784,                 3.6916,             0.00034682,             0.00034682,             0.00034682
                     54,                 2.2731,                 5.0081,                 3.4853,                      0,                      0,                      0,                      0,                 2.6392,                 4.7444,                 3.4928,             0.00034544,             0.00034544,             0.00034544
                     55,                 2.1805,                 4.9543,                 3.3364,                      0,                      0,                      0,                      0,                 2.6392,                 4.7444,                 3.4928,             0.00034407,             0.00034407,             0.00034407
                     56,                 1.8752,                  4.945,                 3.2215,                      0,                      0,                      0,                      0,                 2.3898,                  4.648,                 3.2521,             0.00034269,             0.00034269,             0.00034269
                     57,                 2.2537,                 4.7548,                 3.3441,                      0,                      0,                      0,                      0,                 2.3898,                  4.648,                 3.2521,             0.00034131,             0.00034131,             0.00034131
                     58,                  2.503,                 4.9492,                 3.3453,                0.00336,                    0.1,                0.01362,                 0.0016,                 2.1755,                 4.5798,                 3.0518,             0.00033994,             0.00033994,             0.00033994
                     59,                 2.4061,                  5.096,                 3.3854,                0.00336,                    0.1,                0.01362,                 0.0016,                 2.1755,                 4.5798,                 3.0518,             0.00033856,             0.00033856,             0.00033856
                     60,                 2.6583,                 4.4528,                 3.4756,                0.00285,                    0.2,                0.01691,                0.00402,                 1.9855,                 4.5421,                 2.8796,             0.00033719,             0.00033719,             0.00033719
                     61,                  2.609,                 4.9318,                 3.3095,                0.00285,                    0.2,                0.01691,                0.00402,                 1.9855,                 4.5421,                 2.8796,             0.00033581,             0.00033581,             0.00033581
                     62,                 2.6549,                 5.0366,                 3.4631,                0.00622,                    0.5,                0.01795,                0.00801,                 1.8871,                 4.5481,                  2.774,             0.00033443,             0.00033443,             0.00033443
                     63,                 2.5728,                  4.772,                 3.3034,                0.00622,                    0.5,                0.01795,                0.00801,                 1.8871,                 4.5481,                  2.774,             0.00033306,             0.00033306,             0.00033306
                     64,                 2.0363,                 4.8743,                  3.187,                0.00701,                   0.65,                0.05162,                0.01715,                 1.8323,                 4.5087,                 2.6982,             0.00033168,             0.00033168,             0.00033168
                     65,                 2.1829,                 4.5692,                 3.1759,                0.00701,                   0.65,                0.05162,                0.01715,                 1.8323,                 4.5087,                 2.6982,             0.00033031,             0.00033031,             0.00033031
                     66,                 2.5286,                 4.7118,                 3.2033,                0.00368,                   0.65,                0.04952,                0.02316,                 1.8192,                  4.507,                 2.6465,             0.00032893,             0.00032893,             0.00032893
                     67,                 2.6983,                  4.517,                 3.4061,                0.00368,                   0.65,                0.04952,                0.02316,                 1.8192,                  4.507,                 2.6465,             0.00032755,             0.00032755,             0.00032755
                     68,                 2.0747,                 4.2908,                 3.0382,                0.00309,                   0.65,                0.06197,                0.02987,                 1.7549,                 4.3379,                 2.5594,             0.00032618,             0.00032618,             0.00032618
