                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2017,                 5.5246,                 4.1804,                      0,                      0,                      0,                      0,                 3.3128,                 4.7315,                  4.159,                      0,                      0,                      0
                      2,                 3.5404,                 6.0929,                  4.352,                      0,                      0,                      0,                      0,                 3.3128,                 4.7315,                 4.1586,             7.1341e-06,             7.1341e-06,             7.1341e-06
                      3,                 2.9394,                 5.4704,                 4.2323,                      0,                      0,                      0,                      0,                 3.3128,                 4.7291,                 4.1577,             1.4256e-05,             1.4256e-05,             1.4256e-05
                      4,                 2.6988,                 5.3563,                   4.21,                      0,                      0,                      0,                      0,                 3.3128,                 4.7291,                 4.1579,             2.1367e-05,             2.1367e-05,             2.1367e-05
                      5,                 2.9873,                 5.3698,                 4.2439,                      0,                      0,                      0,                      0,                 3.3127,                 4.7297,                 4.1576,             2.8466e-05,             2.8466e-05,             2.8466e-05
                      6,                 3.0781,                 5.3355,                 4.1873,                      0,                      0,                      0,                      0,                 3.3127,                 4.7297,                 4.1571,             3.5553e-05,             3.5553e-05,             3.5553e-05
                      7,                 2.8625,                 5.4645,                 4.1566,                      0,                      0,                      0,                      0,                 3.3079,                 4.7365,                  4.157,             4.2628e-05,             4.2628e-05,             4.2628e-05
                      8,                 2.7478,                 5.5291,                 4.1795,                      0,                      0,                      0,                      0,                  3.311,                 4.7293,                 4.1563,             4.9691e-05,             4.9691e-05,             4.9691e-05
                      9,                 2.8412,                 5.2772,                 4.2226,                      0,                      0,                      0,                      0,                  3.311,                 4.7293,                 4.1565,             5.6743e-05,             5.6743e-05,             5.6743e-05
                     10,                 2.5968,                 5.4058,                 4.2766,                      0,                      0,                      0,                      0,                 3.3109,                   4.73,                  4.156,             6.3783e-05,             6.3783e-05,             6.3783e-05
